Product,Version,Type,Grouping,Subfolder,URL part,,New Grouping,New Subfolder,Noun,Apply Pattern,Renamed Command
IRT,v1,Command,data-transfer,,AknowledgeRaveClientNotification,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,CreateClientNotification,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,CreateClientNotificationForGeneric,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,CreateRaveErrorListNotification,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,MarkNotificationsAsSent,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,ReceiveClientNotification,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,UpdateClientNotification,,data-transfer-generic,,,,
IRT,v1,Command,data-transfer,,UpdateGenericNotificationDefinition,,data-transfer-generic,,,,
IRT,v1,Command,DTGeneric,,AknowledgeClientNotification,,data-transfer-generic,,,,
IRT,v1,Command,DTGeneric,,RaveAknowledgeClientNotification,,data-transfer-generic,,,,
IRT,v1,Entity,data-transfer,IRT,GenericItemGroupRepeatKey,,data-transfer-generic,,,,
IRT,v1,Entity,data-transfer,IRT,GenericItemGroupRepeatKeyLastUsed,,data-transfer-generic,,,,
IRT,v1,Entity,data-transfer,IRT,GenericNotificationDefinition,,data-transfer-generic,,,,
IRT,v1,Entity,data-transfer,IRT,GenericStudyEventRepeatKey,,data-transfer-generic,,,,
IRT,v1,Entity,data-transfer,IRT,GenericStudyEventRepeatKeyLastUsed,,data-transfer-generic,,,,
IRT,v1,Entity,DTGeneric,IRT,GenericNotificationDependency,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientNotificationAdditionalInfoUpdated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientNotificationCreated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientNotificationForGenericCreated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientNotificationReceived,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientNotificationSent,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientNotificationUpdated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientRaveErrorListNotificationCreated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,ClientRaveErrorNotificationCreated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,GenericIntegrationDataEvent,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,GenericNotificationDefinitionUpdated,,data-transfer-generic,,,,
IRT,v1,Event,data-transfer,,NotificationMarkedAsSent,,data-transfer-generic,,,,
IRT,v1,ExtendedProperties,data-transfer,,GenericDataTransferStudySettings,,data-transfer-generic,,,,
IRT,v1,ExtendedProperties,data-transfer,,GenericNotificationDefinitionSettings,,data-transfer-generic,,,,
IRT,v1,ExtendedProperties,data-transfer,,GenericVisitSettings,,data-transfer-generic,,,,
IRT,v1,ExtendedProperties,data-transfer,,NotificationGenerationSettings,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorListNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorListNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorListNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,ClientRaveErrorNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDemographicsNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDemographicsNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDemographicsNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDemographicsNotification,PILastName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDemographicsNotification,SiteCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDemographicsNotification,SiteName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,PILastName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,SiteCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericDrugDispensationNotification,SiteName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,PILastName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,SiteCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericEnrollmentNotification,SiteName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericRandomizationNotification,CountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericRandomizationNotification,DepotCountryName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericRandomizationNotification,DepotName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericRandomizationNotification,PILastName,,data-transfer-generic,,,,
IRT,v1,Query,data-transfer,GenericRandomizationNotification,SiteCountryName,,data-transfer-generic,,,,
