Product,Version,Type,Grouping,Subfolder,URL part,,New Grouping,New Subfolder,Noun,Apply Pattern,Renamed Command,,New URL,Old URL
IRT,v1,Command,data-transfer,,AknowledgeRaveClientNotification,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/aknowledge-rave-client-notification/,POST /api/IRT/v1/data-transfer/Commands/AknowledgeRaveClientNotification
IRT,v1,Command,data-transfer,,CreateClientNotification,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/create-client-notification/,POST /api/IRT/v1/data-transfer/Commands/CreateClientNotification
IRT,v1,Command,data-transfer,,CreateClientNotificationForGeneric,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/create-client-notification-for-generic/,POST /api/IRT/v1/data-transfer/Commands/CreateClientNotificationForGeneric
IRT,v1,Command,data-transfer,,CreateRaveErrorListNotification,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/create-rave-error-list-notification/,POST /api/IRT/v1/data-transfer/Commands/CreateRaveErrorListNotification
IRT,v1,Command,data-transfer,,MarkNotificationsAsSent,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/mark-notifications-as-sent/,POST /api/IRT/v1/data-transfer/Commands/MarkNotificationsAsSent
IRT,v1,Command,data-transfer,,ReceiveClientNotification,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/receive-client-notification/,POST /api/IRT/v1/data-transfer/Commands/ReceiveClientNotification
IRT,v1,Command,data-transfer,,UpdateClientNotification,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/update-client-notification/,POST /api/IRT/v1/data-transfer/Commands/UpdateClientNotification
IRT,v1,Command,data-transfer,,UpdateGenericNotificationDefinition,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/update-generic-notification-definition/,POST /api/IRT/v1/data-transfer/Commands/UpdateGenericNotificationDefinition
IRT,v1,Command,DTGeneric,,AknowledgeClientNotification,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/aknowledge-client-notification/,POST /api/IRT/v1/DTGeneric/Commands/AknowledgeClientNotification
IRT,v1,Command,DTGeneric,,CreateDynamicSetting,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/create-dynamic-setting/,POST /api/IRT/v1/DTGeneric/Commands/CreateDynamicSetting
IRT,v1,Command,DTGeneric,,CreateGenericNotificationDefinition,,data-transfer-generic,,,,,,POST /api/irt/v1/data-transfer-generic/commands/create-generic-notification-definition/,POST /api/IRT/v1/DTGeneric/Commands/CreateGenericNotificationDefinition
